Simulation ID,P-Value,KS-Statistic,,P-Values,,
1,1.05942E-42,0.312,1,Mean,Median,% p < 0.5
2,3.78349E-47,0.328,1,1.29091E-32,1.4249E-45,1
3,2.33997E-41,0.307,1,95% CI,,
4,4.8472E-50,0.338,1,2.51599E-57,1.76871E-34,
5,2.68465E-40,0.303,1,Ks Statistics,,
6,4.56259E-44,0.317,1,Mean,,
7,3.55543E-45,0.321,1,0.322015,,
8,1.05942E-42,0.312,1,95% CI,,
9,1.61495E-43,0.315,1,0.280025,0.361975,
10,1.27876E-44,0.319,1,* Simulation Summary Table,,
11,1.86786E-37,0.292,1,,,
12,3.19308E-51,0.342,1,,,
13,2.33997E-41,0.307,1,,,
14,1.39943E-46,0.326,1,,,
15,3.88067E-63,0.38,1,,,
16,1.24907E-50,0.34,1,,,
17,2.98311E-39,0.299,1,,,
18,1.86914E-45,0.322,1,,,
19,3.78349E-47,0.328,1,,,
20,4.8472E-50,0.338,1,,,
21,5.98224E-37,0.29,1,,,
22,5.0843E-53,0.348,1,,,
23,1.38851E-48,0.333,1,,,
24,5.13491E-46,0.324,1,,,
25,2.86754E-33,0.275,1,,,
26,5.67066E-43,0.313,1,,,
27,5.4193E-39,0.298,1,,,
28,6.74955E-45,0.32,1,,,
29,5.05055E-57,0.361,1,,,
30,1.02024E-34,0.281,1,,,
31,2.41788E-44,0.318,1,,,
32,1.61495E-43,0.315,1,,,
33,5.67066E-43,0.313,1,,,
34,1.39943E-46,0.326,1,,,
35,3.78349E-47,0.328,1,,,
36,1.96138E-47,0.329,1,,,
37,3.55543E-45,0.321,1,,,
38,1.65277E-33,0.276,1,,,
39,2.69995E-48,0.332,1,,,
40,9.80666E-46,0.323,1,,,
41,7.12648E-49,0.334,1,,,
42,1.86604E-49,0.336,1,,,
43,1.9753E-42,0.311,1,,,
44,2.69995E-48,0.332,1,,,
45,1.6388E-39,0.3,1,,,
46,8.59251E-44,0.316,1,,,
47,3.19308E-51,0.342,1,,,
48,8.98495E-40,0.301,1,,,
49,3.70739E-55,0.355,1,,,
50,1.6096E-51,0.343,1,,,
51,1.47975E-32,0.272,1,,,
52,7.12648E-49,0.334,1,,,
53,1.65277E-33,0.276,1,,,
54,1.07756E-30,0.264,1,,,
55,1.9753E-42,0.311,1,,,
56,4.56259E-44,0.317,1,,,
57,4.56259E-44,0.317,1,,,
58,1.38851E-48,0.333,1,,,
59,3.09177E-54,0.352,1,,,
60,1.38851E-48,0.333,1,,,
61,1.96138E-47,0.329,1,,,
62,2.46305E-50,0.339,1,,,
63,4.91627E-40,0.302,1,,,
64,8.9255E-56,0.357,1,,,
65,1.7879E-34,0.28,1,,,
66,2.68334E-46,0.325,1,,,
67,3.02922E-43,0.314,1,,,
68,1.26508E-41,0.308,1,,,
69,1.0406E-37,0.293,1,,,
70,6.24476E-54,0.351,1,,,
71,1.05942E-42,0.312,1,,,
72,1.96138E-47,0.329,1,,,
73,1.38851E-48,0.333,1,,,
74,2.68334E-46,0.325,1,,,
75,5.67066E-43,0.313,1,,,
76,1.2588E-53,0.35,1,,,
77,9.82535E-39,0.297,1,,,
78,1.03864E-56,0.36,1,,,
79,6.32169E-51,0.341,1,,,
80,1.86786E-37,0.292,1,,,
81,5.23953E-48,0.331,1,,,
82,8.98495E-40,0.301,1,,,
83,8.59251E-44,0.316,1,,,
84,6.32169E-51,0.341,1,,,
85,2.68465E-40,0.303,1,,,
86,5.78565E-38,0.294,1,,,
87,4.31948E-41,0.306,1,,,
88,5.23953E-48,0.331,1,,,
89,5.13491E-46,0.324,1,,,
90,2.54688E-32,0.271,1,,,
91,8.59251E-44,0.316,1,,,
92,9.80666E-46,0.323,1,,,
93,2.86754E-33,0.275,1,,,
94,1.96138E-47,0.329,1,,,
95,1.38851E-48,0.333,1,,,
96,1.01875E-52,0.347,1,,,
97,3.09177E-54,0.352,1,,,
98,2.41788E-44,0.318,1,,,
99,1.96138E-47,0.329,1,,,
100,4.56259E-44,0.317,1,,,
101,1.82089E-55,0.356,1,,,
102,2.68334E-46,0.325,1,,,
103,6.74955E-45,0.32,1,,,
104,2.68334E-46,0.325,1,,,
105,1.77781E-38,0.296,1,,,
106,1.61495E-43,0.315,1,,,
107,1.86604E-49,0.336,1,,,
108,6.82588E-42,0.309,1,,,
109,6.82588E-42,0.309,1,,,
110,3.19308E-51,0.342,1,,,
111,6.32169E-51,0.341,1,,,
112,2.33997E-41,0.307,1,,,
113,2.33997E-41,0.307,1,,,
114,1.27876E-44,0.319,1,,,
